id,name,loan1011,loan0910,loan0809,loan0708,loan0607,loan0506,loan0405,loan0304,loan0203,loan0102,loan0001,loan9900,TF9900,TF1011,,TF0910,,TF0809,,TF0708,,TF0607,,TF0506,,TF0405,,TF0304,,TF0203,,TF0102,,TF0001,,TotalEnrollment
Equatorial Guinea,GNQ,419188,432853,447266,462637,479098,496768,515853,536460,558492,581770,606181,631666,658384,716949,749535,784496,821687,860840,901599,943639,986853,1031191,1076413,1122276,660,654,873,959,1104,1277,2086,5100,6132,7504,8704,13946
Greece,GRC,10196792,10319927,10399061,10460415,10512922,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,13291,13997,14307,14327,14851,15409,16129,17154,18034,18465,19519,20964
Grenada,GRD,96331,96460,97165,98230,99352,100288,101001,101567,102021,102432,102833,103249,103634,104347,104661,104933,105190,105456,105789,106233,106796,107446,108170,108902,4697,4916,4950,4914,5046,5212,5504,5847,6579,7105,7590,7568
Guatemala,GTM,9263813,9483270,9708544,9938692,10172297,10408489,10646674,10887634,11133501,11387203,11650743,11924946,12208848,12796925,13096028,13397021,13700327,14006428,14316263,14630417,14948803,15270778,15595821,15923243,3310,3465,3629,3772,3916,4100,4203,4363,4530,4666,4831,4936
Guyana,GUY,743309,744474,748602,754144,758896,761291,760795,757970,753778,749674,746715,745206,744789,745737,746163,746343,746474,746817,747718,749436,752028,755399,759285,763380,1866,2043,2239,2461,2711,2898,3188,3456,3455,3629,3674,3848
Honduras,HND,4955303,5098591,5244678,5394412,5548960,5709014,5874809,6045699,6220406,6397151,6574509,6751912,6929265,7282953,7458985,7634298,7808518,7980955,8150775,8317470,8480671,8640691,8798521,8955589,2082,2022,2133,2260,2249,2370,2389,2470,2515,2463,2628,2687
Croatia,HRV,4777368,4689022,4575818,4600463,4652024,4620030,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,0,0,0,0,0,7951,8673,9451,9772,9838,10653,11669
Haiti,HTI,7037917,7178607,7319493,7460689,7602320,7744503,7887304,8030726,8174680,8319057,8463806,8608819,8754150,9047077,9195288,9344785,9495328,9646580,9798046,9949322,10100320,10250930,10400673,10549008,1372,1416,1345,1278,1128,1242,1293,1327,1347,1379,1398,1390
Hungary,HUN,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,0,8311,8243,8400,8844,9177,9341,9822,10412,10895,11878,13231
Indonesia,IDN,181413402,184591903,187739786,190851175,193917462,196934260,199901228,202826446,205724592,208615169,211513823,214427417,217357793,223285676,226289470,229318262,232374245,235469762,238620563,241834215,245116206,248452413,251806402,255129004,3002,3261,3492,3745,4049,4405,4764,5001,4331,4367,4621,4827
India,IND,873277798,891273209,909307016,927403860,945601831,963922588,982365243,1000900030,1019483581,1038058156,1056575549,1075000085,1093317189,1129623456,1147609927,1165486291,1183209472,1200669765,1217726215,1234281170,1250288729,1265782790,1280846129,1295604184,1237,1266,1339,1407,1504,1620,1741,1809,1907,2068,2157,2271
Ireland,IRL,3513974,3534235,3558430,3576261,3590386,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,13738,14394,15111,15806,17006,18938,20479,22626,25059,26995,30178,32546
Iraq,IRQ,17419113,17889459,18402734,18955085,19539340,20149338,20783073,21439574,22114324,22802064,23497585,24208180,24931919,26313838,26922284,27448124,27911248,28385746,28973162,29741976,30725300,31890011,33157050,34411951,7498,2714,3578,4633,4767,4820,5283,6315,8350,9659,9718,9862
Iceland,ISL,254826,257797,261057,263725,266021,267468,268916,271128,274047,277381,281205,284968,287523,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,21984,22416,21876,22459,23562,23953,24784,26910,28688,29523,29711,31775
Israel,ISR,4660000,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,15149,15886,16914,17555,18769,19890,20729,21402,22039,22566,24912,24902
Italy,ITA,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,18547,19456,20052,20340,21216,22286,22968,23819,24947,25532,27027,27933
Jamaica,JAM,2419906,2439334,2461049,2484581,2509043,2533711,2558637,2583916,2608873,2632675,2654701,2674702,2692845,2725015,2740003,2754407,2768227,2781876,2795837,2810460,2825929,2842132,2858709,2875136,4738,5094,5265,5842,5990,6198,6243,6217,6082,6178,6318,6495
Jordan,JOR,3565890,3760496,3977672,4201555,4410359,4588843,4732854,4848541,4943975,5031762,5122493,5217336,5317506,5580244,5765635,5991540,6255280,6556478,6893260,7261539,7663131,8090872,8520420,8920049,4079,4071,4671,4737,4839,5042,5082,5213,5325,5488,5746,6069
